uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,7103486,5570027,bfs,1.582716,7453213,74532,1.0,0.004132,0.445567
src1_length,1,7103486,5570027,length,6.736493,7453213,74532,0.867372,0.010304,0.452879
src1_resistance,1,7103486,5570027,resistance,7.774554,7453213,74532,0.444842,0.082595,0.805949
src1_radius,1,7103486,5570027,radius,7.907248,7453213,74532,0.445567,0.057197,1.0
src2_bfs,2,262660,5570027,bfs,1.690743,7453213,74532,1.0,0.033932,0.324746
src2_length,2,262660,5570027,length,5.996611,7453213,74532,0.907986,0.041982,0.327953
src2_resistance,2,262660,5570027,resistance,6.838861,7453213,74532,0.237817,0.604707,0.793377
src2_radius,2,262660,5570027,radius,7.533393,7453213,74532,0.324746,0.490514,1.0
src3_bfs,3,3107321,5570027,bfs,1.674907,7453213,74532,1.0,0.032483,0.464498
src3_length,3,3107321,5570027,length,4.974102,7453213,74532,0.840686,0.03679,0.443635
src3_resistance,3,3107321,5570027,resistance,6.096067,7453213,74532,0.381782,0.326102,0.693326
src3_radius,3,3107321,5570027,radius,6.365595,7453213,74532,0.464498,0.268502,1.0
src4_bfs,4,2941526,5570027,bfs,1.313323,7453213,74532,1.0,0.005555,0.280551
src4_length,4,2941526,5570027,length,6.681935,7453213,74532,0.828704,0.006762,0.217799
src4_resistance,4,2941526,5570027,resistance,6.77285,7453213,74532,0.287031,0.078396,0.522581
src4_radius,4,2941526,5570027,radius,6.451109,7453213,74532,0.280551,0.036065,1.0
src5_bfs,5,4721683,5570027,bfs,1.388422,7453213,74532,1.0,0.135807,0.224548
src5_length,5,4721683,5570027,length,4.675068,7453213,74532,0.855968,0.173187,0.249919
src5_resistance,5,4721683,5570027,resistance,6.833055,7453213,74532,0.227553,0.663889,0.808123
src5_radius,5,4721683,5570027,radius,6.960647,7453213,74532,0.224548,0.662346,1.0
