uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,520321,552078,bfs,41,3720.75,6.3708
src1_length,1,520321,552078,length,71,2604.6113,5.8544
src1_resistance,1,520321,552078,resistance,95,4802.556,12.6015
src1_radius,1,520321,552078,radius,95,4981.9887,12.6142
src2_bfs,2,345786,552078,bfs,128,11823.6459,6.277
src2_length,2,345786,552078,length,167,10325.4109,6.2549
src2_resistance,2,345786,552078,resistance,249,13218.0012,10.9556
src2_radius,2,345786,552078,radius,224,13288.8008,10.6502
src3_bfs,3,270515,552078,bfs,152,13565.6034,5.4695
src3_length,3,270515,552078,length,236,10280.6713,6.6092
src3_resistance,3,270515,552078,resistance,332,14396.8154,14.5087
src3_radius,3,270515,552078,radius,341,15785.8913,14.9363
src4_bfs,4,40053,552078,bfs,111,9492.3686,6.9823
src4_length,4,40053,552078,length,176,7184.778,5.4327
src4_resistance,4,40053,552078,resistance,236,12872.19,12.1402
src4_radius,4,40053,552078,radius,249,13930.3549,13.4724
src5_bfs,5,4476,552078,bfs,109,9290.2249,6.7494
src5_length,5,4476,552078,length,149,7729.5141,6.0536
src5_resistance,5,4476,552078,resistance,172,10876.9344,10.0099
src5_radius,5,4476,552078,radius,185,11890.8736,11.9448
