uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,520321,552078,bfs,0.146016,813874,8138,1.0,0.019538,0.192308
src1_length,1,520321,552078,length,0.545007,813874,8138,0.763824,0.021504,0.191325
src1_resistance,1,520321,552078,resistance,0.676496,813874,8138,0.111698,0.521873,0.641927
src1_radius,1,520321,552078,radius,0.750124,813874,8138,0.192308,0.247972,1.0
src2_bfs,2,345786,552078,bfs,0.145356,813874,8138,1.0,0.071639,0.577292
src2_length,2,345786,552078,length,0.582973,813874,8138,0.88695,0.066601,0.511428
src2_resistance,2,345786,552078,resistance,0.636164,813874,8138,0.630376,0.077046,0.838658
src2_radius,2,345786,552078,radius,0.676625,813874,8138,0.577292,0.073974,1.0
src3_bfs,3,270515,552078,bfs,0.144431,813874,8138,1.0,0.024085,0.633817
src3_length,3,270515,552078,length,0.528223,813874,8138,0.898378,0.017695,0.593143
src3_resistance,3,270515,552078,resistance,0.627919,813874,8138,0.726837,0.125092,0.777832
src3_radius,3,270515,552078,radius,0.687942,813874,8138,0.633817,0.231752,1.0
src4_bfs,4,40053,552078,bfs,0.148392,813874,8138,1.0,0.113664,0.109486
src4_length,4,40053,552078,length,0.524105,813874,8138,0.847014,0.084787,0.076554
src4_resistance,4,40053,552078,resistance,0.657232,813874,8138,0.119685,0.642418,0.813959
src4_radius,4,40053,552078,radius,0.682064,813874,8138,0.109486,0.596461,1.0
src5_bfs,5,4476,552078,bfs,0.143662,813874,8138,1.0,0.026174,0.575817
src5_length,5,4476,552078,length,0.533685,813874,8138,0.884001,0.020767,0.535021
src5_resistance,5,4476,552078,resistance,0.590694,813874,8138,0.66171,0.051978,0.833006
src5_radius,5,4476,552078,radius,0.621204,813874,8138,0.575817,0.063775,1.0
