uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,529262,5570027,bfs,1.302804,7453213,74532,1.0,0.034334,0.463452
src1_length,1,529262,5570027,length,4.298885,7453213,74532,0.814348,0.039285,0.400352
src1_resistance,1,529262,5570027,resistance,5.646217,7453213,74532,0.377985,0.324881,0.758158
src1_radius,1,529262,5570027,radius,5.884779,7453213,74532,0.463452,0.250134,1.0
src2_bfs,2,4420401,5570027,bfs,1.351335,7453213,74532,1.0,0.024097,0.332864
src2_length,2,4420401,5570027,length,4.64171,7453213,74532,0.592631,0.030899,0.254454
src2_resistance,2,4420401,5570027,resistance,5.646855,7453213,74532,0.356035,0.070614,0.628965
src2_radius,2,4420401,5570027,radius,5.805342,7453213,74532,0.332864,0.070185,1.0
src3_bfs,3,6088145,5570027,bfs,1.353477,7453213,74532,1.0,0.057398,0.328463
src3_length,3,6088145,5570027,length,4.386144,7453213,74532,0.689918,0.051897,0.301199
src3_resistance,3,6088145,5570027,resistance,5.690748,7453213,74532,0.394005,0.362475,0.689731
src3_radius,3,6088145,5570027,radius,5.787903,7453213,74532,0.328463,0.388746,1.0
src4_bfs,4,352715,5570027,bfs,1.370741,7453213,74532,1.0,0.195607,0.149788
src4_length,4,352715,5570027,length,4.27118,7453213,74532,0.824867,0.265349,0.167096
src4_resistance,4,352715,5570027,resistance,5.508661,7453213,74532,0.116608,0.642596,0.791647
src4_radius,4,352715,5570027,radius,5.620894,7453213,74532,0.149788,0.557693,1.0
src5_bfs,5,6604955,5570027,bfs,1.35107,7453213,74532,1.0,0.109711,0.24949
src5_length,5,6604955,5570027,length,4.638449,7453213,74532,0.797724,0.154283,0.28424
src5_resistance,5,6604955,5570027,resistance,5.550378,7453213,74532,0.234906,0.580945,0.839532
src5_radius,5,6604955,5570027,radius,5.92087,7453213,74532,0.24949,0.555198,1.0
