uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,493206,552078,bfs,143,10171.6213,8.6492
src1_length,1,493206,552078,length,183,8260.3768,8.6369
src1_resistance,1,493206,552078,resistance,322,11669.5991,17.3821
src1_radius,1,493206,552078,radius,332,12377.6021,17.154
src2_bfs,2,471421,552078,bfs,82,8975.4186,6.6273
src2_length,2,471421,552078,length,121,7312.3047,10.5562
src2_resistance,2,471421,552078,resistance,248,12186.4865,13.2458
src2_radius,2,471421,552078,radius,151,11966.4998,12.8786
src3_bfs,3,221172,552078,bfs,48,3868.0536,7.8809
src3_length,3,221172,552078,length,62,3144.3697,7.3833
src3_resistance,3,221172,552078,resistance,109,5856.7947,15.0179
src3_radius,3,221172,552078,radius,105,7857.5319,15.2503
src4_bfs,4,118285,552078,bfs,45,4226.1783,8.7062
src4_length,4,118285,552078,length,71,2834.0012,10.902
src4_resistance,4,118285,552078,resistance,69,3771.043,13.1241
src4_radius,4,118285,552078,radius,64,3689.6715,13.5389
src5_bfs,5,25896,552078,bfs,118,10037.4954,6.4037
src5_length,5,25896,552078,length,183,7473.2955,4.9465
src5_resistance,5,25896,552078,resistance,237,12972.8306,12.1311
src5_radius,5,25896,552078,radius,250,14030.9955,13.4585
