uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,554110,552078,bfs,0.172392,813874,8138,1.0,0.002703,0.309658
src1_length,1,554110,552078,length,0.611978,813874,8138,0.719341,0.000246,0.225977
src1_resistance,1,554110,552078,resistance,0.715692,813874,8138,0.354755,0.00725,0.668223
src1_radius,1,554110,552078,radius,0.720696,813874,8138,0.309658,0.136274,1.0
src2_bfs,2,77250,552078,bfs,0.15398,813874,8138,1.0,0.088105,0.34898
src2_length,2,77250,552078,length,0.574166,813874,8138,0.813713,0.020644,0.27476
src2_resistance,2,77250,552078,resistance,0.685071,813874,8138,0.435242,0.518309,0.77218
src2_radius,2,77250,552078,radius,0.678139,813874,8138,0.34898,0.53158,1.0
src3_bfs,3,190756,552078,bfs,0.157901,813874,8138,1.0,0.031703,0.392725
src3_length,3,190756,552078,length,0.562393,813874,8138,0.716884,0.023101,0.266036
src3_resistance,3,190756,552078,resistance,0.617169,813874,8138,0.292455,0.262227,0.730401
src3_radius,3,190756,552078,radius,0.614887,813874,8138,0.392725,0.27857,1.0
src4_bfs,4,63898,552078,bfs,0.166429,813874,8138,1.0,0.071639,0.626567
src4_length,4,63898,552078,length,0.567611,813874,8138,0.731261,0.072254,0.511919
src4_resistance,4,63898,552078,resistance,0.667524,813874,8138,0.705087,0.086876,0.758417
src4_radius,4,63898,552078,radius,0.754787,813874,8138,0.626567,0.080241,1.0
src5_bfs,5,43829,552078,bfs,0.158068,813874,8138,1.0,0.057631,0.488695
src5_length,5,43829,552078,length,0.552764,813874,8138,0.830917,0.054067,0.403293
src5_resistance,5,43829,552078,resistance,0.701766,813874,8138,0.548906,0.089088,0.824281
src5_radius,5,43829,552078,radius,0.651354,813874,8138,0.488695,0.094986,1.0
