uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,554110,552078,bfs,116,10084.7256,5.4614
src1_length,1,554110,552078,length,176,7956.531,5.0194
src1_resistance,1,554110,552078,resistance,268,13129.3819,12.6139
src1_radius,1,554110,552078,radius,194,11713.6414,10.8702
src2_bfs,2,77250,552078,bfs,110,9865.9276,6.985
src2_length,2,77250,552078,length,164,7006.3645,5.6426
src2_resistance,2,77250,552078,resistance,246,13806.4932,11.5035
src2_radius,2,77250,552078,radius,231,14308.5633,12.4171
src3_bfs,3,190756,552078,bfs,69,5320.3415,8.7929
src3_length,3,190756,552078,length,91,4224.7381,6.7917
src3_resistance,3,190756,552078,resistance,163,7755.8033,15.7407
src3_radius,3,190756,552078,radius,152,7069.0271,16.6785
src4_bfs,4,63898,552078,bfs,68,6706.3123,7.3693
src4_length,4,63898,552078,length,85,5929.9255,6.6476
src4_resistance,4,63898,552078,resistance,92,6387.4027,12.1552
src4_radius,4,63898,552078,radius,111,8560.6822,11.5464
src5_bfs,5,43829,552078,bfs,122,12546.1237,6.6518
src5_length,5,43829,552078,length,180,10133.0143,9.4137
src5_resistance,5,43829,552078,resistance,229,12212.4344,11.4136
src5_radius,5,43829,552078,radius,205,12293.024,11.1097
