uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,308329,552078,bfs,102,8702.8183,7.3703
src1_length,1,308329,552078,length,142,7001.5616,6.0831
src1_resistance,1,308329,552078,resistance,193,10723.2451,11.6597
src1_radius,1,308329,552078,radius,180,11801.2022,12.0579
src2_bfs,2,677010,552078,bfs,135,11733.8338,5.5873
src2_length,2,677010,552078,length,203,9659.9731,6.8257
src2_resistance,2,677010,552078,resistance,293,12172.1294,15.3148
src2_radius,2,677010,552078,radius,307,13250.2572,15.6189
src3_bfs,3,755117,552078,bfs,66,4736.6239,6.6235
src3_length,3,755117,552078,length,82,3925.298,6.129
src3_resistance,3,755117,552078,resistance,162,7701.8692,15.8901
src3_radius,3,755117,552078,radius,151,7015.093,16.8451
src4_bfs,4,468797,552078,bfs,121,12288.5393,6.4358
src4_length,4,468797,552078,length,211,9766.5023,6.3774
src4_resistance,4,468797,552078,resistance,272,14517.0696,12.7297
src4_radius,4,468797,552078,radius,196,12519.0627,11.156
src5_bfs,5,390983,552078,bfs,72,5281.064,7.8942
src5_length,5,390983,552078,length,120,4516.9298,6.7049
src5_resistance,5,390983,552078,resistance,190,8466.0338,15.262
src5_radius,5,390983,552078,radius,101,5702.5598,12.3678
