uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,911256,5570027,bfs,692,8444.7017,6.5103
src1_length,1,911256,5570027,length,1375,7946.0021,7.5032
src1_resistance,1,911256,5570027,resistance,2075,13806.3009,11.4842
src1_radius,1,911256,5570027,radius,999,9472.4389,10.7056
src2_bfs,2,1727888,5570027,bfs,589,6590.1008,4.9388
src2_length,2,1727888,5570027,length,759,6107.3809,4.3658
src2_resistance,2,1727888,5570027,resistance,1979,9928.4702,11.6766
src2_radius,2,1727888,5570027,radius,1557,9780.6765,12.9202
src3_bfs,3,807902,5570027,bfs,713,8407.0253,5.3357
src3_length,3,807902,5570027,length,903,7788.4835,5.4721
src3_resistance,3,807902,5570027,resistance,2655,15643.6347,10.9121
src3_radius,3,807902,5570027,radius,1646,13843.0199,11.8594
src4_bfs,4,7340314,5570027,bfs,683,9086.1102,4.6361
src4_length,4,7340314,5570027,length,850,7913.146,6.3342
src4_resistance,4,7340314,5570027,resistance,2200,11567.608,10.661
src4_radius,4,7340314,5570027,radius,1487,10754.2633,12.0459
src5_bfs,5,4051769,5570027,bfs,168,1745.9034,9.4081
src5_length,5,4051769,5570027,length,183,1699.933,9.3612
src5_resistance,5,4051769,5570027,resistance,299,2202.3111,17.4698
src5_radius,5,4051769,5570027,radius,294,2194.2135,17.548
