edge_id,src,dst,length_um,radius_um,usage
224,154,726186,17.1047,4.9122,1
314,209,544,7.5498,11.9345,1
593,391,319819,33.0337,8.4091,2
594,391,641,10.8064,10.4093,5
813,544,327426,108.8174,10.6892,1
975,641,316775,88.82,11.7681,5
1292,850,165299,19.9151,7.3455,1
1293,850,323794,29.0778,8.0275,1
1505,983,814069,24.5515,4.4689,1
1506,983,285881,70.088,5.4064,1
1702,1120,319384,7.6305,12.9428,8
2418,1636,332584,104.5785,6.8759,2
2761,1885,319172,9.8658,4.7863,1
2915,1996,283859,4.761,10.3218,2
3224,2241,319404,5.2599,6.2404,1
3336,2319,236448,6.8232,11.5509,4
4064,2875,28146,107.6998,6.8301,1
4065,2875,316235,48.766,4.9495,1
4580,3276,306067,18.1177,3.9324,1
4830,3463,649027,86.862,5.8208,1
4831,3463,109331,79.2528,5.6317,1
5585,2241,4041,49.8331,5.958,1
6022,4363,6062,64.7843,3.2975,1
6569,4776,667941,33.4016,4.7541,1
6570,4776,47387,102.7207,5.5649,1
6653,4839,288731,35.7118,6.1926,1
7482,5426,307459,53.7913,5.0495,1
7483,5426,313626,66.2269,6.0495,1
7774,5640,671512,110.0833,4.5616,1
8345,6062,6383,51.5849,3.2975,1
8783,6383,310151,52.5071,2.9208,1
8871,6440,329334,78.4049,5.2417,1
8872,6440,25502,41.9868,6.6139,1
11109,8080,495278,71.1633,4.8452,3
12206,8864,322610,6.549,12.2505,12
12278,8912,237600,3.2787,18.3576,4
12279,8912,105872,62.2415,18.0811,4
12375,8983,313564,67.5597,6.5123,1
14965,10881,33536,63.4233,5.4218,1
15853,11525,806782,170.6488,4.7408,1
16041,11655,818694,92.8081,30.2964,5
16042,11655,22486,17.2498,26.9105,5
16469,11958,234372,25.6515,4.8408,1
16601,12049,322811,9.2916,4.5247,1
17941,12996,27988,12.7727,5.0815,2
18148,13147,321941,152.1436,5.1476,1
18149,13147,16379,75.71,5.4704,1
18238,1885,13214,45.6618,4.5634,1
18693,13544,331132,381.0157,9.71,1
18694,13544,14298,36.3593,5.902,1
19602,14208,320670,102.521,6.8919,1
19603,14208,324717,25.4602,5.6541,1
19733,14298,14984,62.7853,4.1621,1
20289,14687,324140,5.1208,8.1542,3
20460,14812,325047,92.8565,7.6174,1
20461,14812,15010,8.775,8.8318,1
20719,14984,327669,15.195,4.1621,1
20738,14998,338284,221.5121,7.4736,6
20739,14998,321224,14.3047,7.5886,6
20755,15010,326324,27.7288,8.9159,1
22088,15940,287300,23.6761,14.8605,1
22577,16281,328087,6.7082,4.1307,1
22714,16379,328509,4.0415,5.9545,1
23117,16680,19774,101.8872,4.7541,1
23176,16723,20914,74.4245,4.4009,1
23937,17257,335972,61.913,5.7996,1
23973,17285,327742,56.6863,6.8525,1
24055,17346,17767,14.5258,5.3779,1
24172,17257,17422,13.1529,5.651,1
24173,17422,19075,42.8019,4.2523,1
24303,17518,17700,37.0,5.5649,1
24561,17700,330680,10.8934,5.3852,1
24661,17767,19681,63.0397,9.3503,1
24882,17915,334237,70.6496,9.4239,1
24908,17285,17932,59.279,5.1515,1
25056,18036,18503,10.4881,4.216,1
25071,18047,328087,69.2339,4.2816,1
25120,18086,339385,62.9682,8.5149,1
25162,154,18111,81.8624,5.2249,1
25163,18111,22371,20.9576,6.7082,1
25716,18503,337114,75.4586,4.6094,1
26243,16687,18871,66.7008,4.0941,1
26244,18871,19282,13.8924,4.6365,1
26429,18996,22253,50.6853,3.5616,1
26818,19271,332623,27.9165,6.8206,1
26832,18047,19282,28.3196,4.0773,1
27245,19566,683992,83.9764,15.103,4
27271,19581,673197,11.0028,3.3461,1
27540,19774,334930,29.6742,5.1421,1
28104,19681,20175,9.9499,13.8363,1
28451,20435,333712,44.3459,9.1077,1
28919,20761,22371,45.8851,5.5335,1
28920,20761,325598,11.4698,4.4155,1
29131,20914,335972,13.9722,4.4009,1
30004,8654,21527,47.4702,8.5086,1
30342,21765,332471,93.8669,5.4218,1
31028,22280,169494,178.8944,4.899,1
31492,18086,22600,166.5923,8.8524,1
31649,21765,22710,19.0526,6.1551,1
32004,11958,22968,9.798,5.7511,1
32121,23045,325873,8.5245,7.9169,3
32614,22754,23412,24.1039,5.8208,1
33103,23751,340623,27.2641,13.4131,1
33414,21527,23959,25.0083,9.4312,1
33685,23751,24146,19.0526,12.6073,1
34243,24146,24537,7.6811,11.6667,1
34764,24897,322811,32.9191,5.3417,1
34911,25005,663724,72.4446,5.3218,1
35033,22600,25089,64.0391,8.4853,1
35089,25128,26343,51.9038,10.5477,1
35156,25172,675461,14.7158,4.7361,1
36426,26091,29138,59.4306,6.451,1
36777,26343,354629,110.529,10.0499,1
37066,26091,26543,87.046,5.7439,1
37155,26610,347723,6.6833,7.3472,1
37310,26716,328279,203.8085,7.3024,1
37351,26747,327059,33.3217,6.1596,1
37665,24537,26964,118.6339,10.0917,1
38204,27350,27462,22.5832,5.262,1
38207,27353,32877,9.9443,10.1535,1
38360,27462,348753,46.6821,5.4064,1
38909,25005,27837,20.1136,4.4534,1
38932,22486,27849,31.9192,22.0967,5
38933,27849,680317,35.2775,16.4622,5
39132,27988,816955,39.0185,6.8843,2
39856,27350,28493,60.3573,7.5143,1
40318,28827,29757,26.4764,10.4676,3
40663,29062,359930,72.4124,13.3199,4
40833,29182,330305,34.8553,11.8751,12
40977,29282,328137,27.8268,4.6904,1
40978,14687,29282,39.78,6.4683,3
40979,29282,31663,76.1059,5.3452,2
41631,29062,29757,45.0111,11.0434,4
41632,29757,32634,42.4028,7.4442,1
41658,29780,33734,89.7608,6.8012,1
41659,29781,30550,85.5745,5.2035,1
41783,24897,29859,35.1544,7.255,1
42170,30116,43406,28.5754,25.6075,1
42719,30483,45776,59.4914,7.5452,1
42720,30483,672886,18.9737,7.4051,1
42805,30550,30963,25.0998,6.2838,1
43399,30963,31627,50.547,6.0738,1
43690,31164,328984,14.1774,14.4677,8
44113,31459,33456,48.5901,3.1583,1
44178,31503,39622,147.1428,8.1126,1
44225,31540,355749,4.6547,12.6577,3
44335,31627,353384,82.998,7.1734,1
44387,31663,40573,21.8632,5.0616,2
44611,31831,362894,61.1256,3.6736,1
44816,31976,355770,16.1314,9.0567,1
45137,31540,32192,28.0891,16.4062,3
45470,32426,34284,39.1663,12.4961,1
45478,32192,32432,8.3666,19.6469,3
45561,32485,44177,156.7833,6.2264,1
45576,32302,32497,16.1555,11.025,1
45773,32634,33016,6.4807,7.8113,1
45884,32709,357045,7.5719,10.4375,8
46098,27837,32868,13.1509,3.6427,1
46099,32868,685241,55.8899,4.3528,1
46112,32877,684641,135.1193,9.6273,1
46312,33016,357322,50.5931,9.7576,1
46538,33189,346906,163.3136,5.8941,6
46905,33456,363907,79.4963,4.2386,1
47029,33536,69545,81.854,5.7007,1
47128,32432,33610,31.8434,18.5682,3
47164,33639,360284,26.1916,8.4161,1
47234,33610,33694,32.3265,18.9056,3
47235,33694,359929,9.8489,19.5277,3
47293,33734,34100,16.7631,4.5616,1
47590,33939,35361,26.1916,10.0826,1
48082,34284,361280,14.5488,13.6002,1
48343,34460,359755,15.5421,20.6582,3
48344,34461,357322,34.0147,9.3311,1
48804,34797,360449,13.2539,20.8213,3
48883,34859,360100,32.4739,7.3282,1
49526,35312,35481,5.7446,9.2195,8
49597,35361,37401,25.807,11.3524,1
49696,35438,359819,41.1623,7.6468,1
49767,35481,40312,83.3847,9.5595,8
49870,35553,356034,95.8036,4.6111,1
50108,35714,361478,29.0956,9.2644,1
50328,35865,43911,28.5164,17.0774,4
50563,36039,361717,17.9536,21.2715,3
51186,36456,361243,68.5095,9.0475,1
51401,34461,36599,77.479,8.0884,1
51402,36599,36600,6.4031,8.2353,1
51403,36600,363907,6.8799,7.0687,1
51466,36640,329678,9.7125,12.904,18
51531,36688,331381,12.51,6.7336,2
51537,36694,57788,189.591,19.141,3
51706,36810,125271,17.7359,5.7007,1
51707,36810,174968,103.8391,5.0645,1
51726,36824,370805,5.2599,12.9795,1
51911,28146,36952,17.6149,10.2038,1
51912,36952,336876,65.5685,8.4232,1
52025,37035,679168,14.8099,9.6285,4
52524,37401,366449,8.2462,11.2142,1
52572,37431,40154,53.647,19.6359,1
52625,37472,289099,27.3861,6.8006,2
52626,37472,289497,26.0384,9.3771,2
53745,35553,38251,49.1732,3.8643,1
53779,36456,38274,64.3428,9.1964,1
53853,38327,330644,11.2398,4.3008,1
54229,38605,674535,32.8215,13.2249,12
54230,38605,47414,16.9648,14.6486,12
54362,38698,366587,20.8087,21.3822,3
54402,38728,767852,78.9698,18.3576,1
54462,38768,337572,70.2899,6.8596,1
54816,4040,39017,78.3836,5.4155,1
54818,39017,331733,10.3179,4.9155,1
54874,35438,39060,99.4535,7.2058,1
54875,39060,371195,167.5938,6.4641,1
55007,39165,54475,39.6569,15.9948,18
55105,39239,39392,2.4495,11.9364,4
55326,39392,370997,19.8382,13.4746,4
55477,39497,376512,75.5028,5.7079,1
55650,39622,370121,11.8945,8.544,1
55654,39624,366449,29.2347,12.8619,1
55655,39624,39696,5.4772,15.3422,1
56161,39971,372121,28.5073,7.5799,1
56162,39971,375056,29.0,5.0083,1
56422,40154,40780,10.0499,25.2818,1
56553,40245,327243,36.4143,4.7541,1
56736,40367,359065,146.5378,9.6206,1
56737,38178,40367,54.754,13.2279,1
56743,40371,372424,15.5242,9.5647,8
56820,39696,40422,17.5499,13.5211,1
56822,40422,41279,13.9284,12.0428,1
56947,40506,329746,34.7515,8.0469,3
57038,40573,333662,37.3988,6.1236,2
57288,40738,552918,110.8237,12.2105,1
57350,38698,40780,41.6293,24.0617,3
57576,40944,680317,5.2281,14.4542,5
57652,40780,40999,2.4495,25.075,2
57653,40999,373495,10.6301,25.075,2
57837,41121,240205,14.1303,6.0895,2
57838,41121,244036,10.9545,5.3218,2
57868,41143,371711,21.3828,9.434,8
58056,41279,376428,31.3369,11.1074,1
58139,41338,289266,30.499,11.8851,7
59072,42017,42887,35.609,9.7333,1
