uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,461544,552078,bfs,0.154284,813874,8138,1.0,0.031949,0.701769
src1_length,1,461544,552078,length,0.54488,813874,8138,0.836323,0.030106,0.663308
src1_resistance,1,461544,552078,resistance,0.683349,813874,8138,0.684566,0.041288,0.792578
src1_radius,1,461544,552078,radius,0.670737,813874,8138,0.701769,0.0435,1.0
src2_bfs,2,388462,552078,bfs,0.138194,813874,8138,1.0,0.073728,0.158638
src2_length,2,388462,552078,length,0.567672,813874,8138,0.733841,0.079749,0.217621
src2_resistance,2,388462,552078,resistance,0.623318,813874,8138,0.172893,0.072868,0.816417
src2_radius,2,388462,552078,radius,0.642995,813874,8138,0.158638,0.071639,1.0
src3_bfs,3,169123,552078,bfs,0.158227,813874,8138,1.0,0.104325,0.176948
src3_length,3,169123,552078,length,0.490584,813874,8138,0.809413,0.143893,0.222536
src3_resistance,3,169123,552078,resistance,0.616813,813874,8138,0.167855,0.695625,0.818014
src3_radius,3,169123,552078,radius,0.706536,813874,8138,0.176948,0.62288,1.0
src4_bfs,4,198649,552078,bfs,0.146572,813874,8138,1.0,0.211108,0.285942
src4_length,4,198649,552078,length,0.543897,813874,8138,0.763333,0.267633,0.298353
src4_resistance,4,198649,552078,resistance,0.679488,813874,8138,0.224379,0.769968,0.734579
src4_radius,4,198649,552078,radius,0.676064,813874,8138,0.285942,0.649668,1.0
src5_bfs,5,684541,552078,bfs,0.151108,813874,8138,1.0,0.276481,0.249201
src5_length,5,684541,552078,length,0.563731,813874,8138,0.605186,0.358196,0.317277
src5_resistance,5,684541,552078,resistance,0.659968,813874,8138,0.253256,0.672524,0.66896
src5_radius,5,684541,552078,radius,0.665577,813874,8138,0.249201,0.589211,1.0
