uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,461544,552078,bfs,112,11282.9204,6.6596
src1_length,1,461544,552078,length,190,8834.6673,6.5917
src1_resistance,1,461544,552078,resistance,233,12458.7595,11.4097
src1_radius,1,461544,552078,radius,202,12569.9995,10.997
src2_bfs,2,388462,552078,bfs,44,2210.674,10.6207
src2_length,2,388462,552078,length,71,1761.2706,10.4441
src2_resistance,2,388462,552078,resistance,103,1956.7091,21.0696
src2_radius,2,388462,552078,radius,103,1956.7091,21.0696
src3_bfs,3,169123,552078,bfs,106,8634.5836,9.6516
src3_length,3,169123,552078,length,166,6511.3711,6.3312
src3_resistance,3,169123,552078,resistance,417,14157.3744,17.1534
src3_radius,3,169123,552078,radius,275,12759.7381,16.3407
src4_bfs,4,198649,552078,bfs,107,9520.7639,7.1785
src4_length,4,198649,552078,length,182,7646.3595,5.3243
src4_resistance,4,198649,552078,resistance,405,14597.8033,17.7533
src4_radius,4,198649,552078,radius,404,15037.883,17.695
src5_bfs,5,684541,552078,bfs,125,9709.4894,8.4486
src5_length,5,684541,552078,length,165,7798.2448,8.4836
src5_resistance,5,684541,552078,resistance,296,11126.2976,17.7739
src5_radius,5,684541,552078,radius,303,11740.6273,17.567
