uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,612043,552078,bfs,140,11643.1972,5.5719
src1_length,1,612043,552078,length,226,9259.6325,6.9084
src1_resistance,1,612043,552078,resistance,331,14294.5258,11.0501
src1_radius,1,612043,552078,radius,199,13399.2521,8.9617
src2_bfs,2,331216,552078,bfs,89,9034.4694,6.7864
src2_length,2,331216,552078,length,138,7428.1222,6.5222
src2_resistance,2,331216,552078,resistance,223,13456.0551,11.4526
src2_radius,2,331216,552078,radius,160,11346.8034,12.5259
src3_bfs,3,480816,552078,bfs,91,8250.8945,6.9662
src3_length,3,480816,552078,length,126,5989.8915,5.9145
src3_resistance,3,480816,552078,resistance,175,10508.2667,12.7532
src3_radius,3,480816,552078,radius,221,13113.1154,13.5812
src4_bfs,4,49337,552078,bfs,104,9125.1848,6.3055
src4_length,4,49337,552078,length,146,6855.2455,5.1446
src4_resistance,4,49337,552078,resistance,244,12649.4491,12.299
src4_radius,4,49337,552078,radius,270,15015.2133,13.1267
src5_bfs,5,325107,552078,bfs,113,9576.7728,8.0208
src5_length,5,325107,552078,length,163,7551.1491,5.7936
src5_resistance,5,325107,552078,resistance,189,12050.4712,10.0887
src5_radius,5,325107,552078,radius,239,14301.94,12.8507
