edge_id,src,dst,length_um,radius_um,usage
668,442,788358,39.2457,5.8407,40
6755,4911,666252,26.6562,3.8106,2
7594,5517,245585,32.532,4.4707,1
8643,4029,6288,110.6165,5.5,6
8644,6288,18296,20.4641,4.6213,6
11287,4911,8210,51.099,5.8941,2
16015,11639,15011,75.5381,11.1695,2
20099,14560,21182,11.9094,6.8143,6
20125,14576,324495,65.0273,5.6081,1
20155,14596,676330,56.8448,4.9839,2
20256,14661,22600,231.6765,8.5438,1
20655,14942,157547,116.1077,3.3708,1
20756,15011,15232,6.4031,10.8385,1
20866,15091,327897,31.8957,9.2256,1
21043,15213,325454,7.4087,3.3028,1
21044,15213,16965,150.0033,3.5616,1
21068,15232,15868,48.0521,9.6533,1
21978,15091,15867,58.1464,7.2166,1
21980,15867,15868,25.318,7.0688,1
22206,16022,327836,42.3123,10.4881,1
22508,16022,16235,16.4317,10.4642,1
23514,16965,333747,86.1665,4.7541,1
27586,19803,20896,18.4662,8.4656,1
27847,19998,38785,37.0037,5.5414,1
28992,15011,20810,192.6448,11.3801,1
29505,21182,697978,193.2148,5.6569,6
30198,21669,26091,59.3464,5.4155,1
30403,21807,337606,23.4023,5.3452,1
30404,21807,22915,13.3791,4.8452,1
31935,22915,37184,195.9949,5.4155,1
34916,25010,676975,37.2514,7.806,2
35033,22600,25089,64.0391,8.4853,1
36426,26091,29138,59.4306,6.451,1
36744,26317,283240,100.0433,5.0196,6
36745,26317,94545,44.243,3.4758,6
37459,26812,328540,389.5526,9.2513,1
38404,27495,28593,19.5192,2.8284,1
38787,27756,287143,60.3552,4.6926,1
39394,28174,281267,24.5937,14.832,1
40097,28670,346072,87.4751,3.8378,1
40099,28671,351419,5.2599,4.1621,1
45219,32252,359846,95.9786,3.7417,1
45681,32571,287795,27.6265,9.4199,1
45682,32571,279223,58.9736,6.6333,1
45718,32593,675283,178.4831,5.4929,2
45719,32593,676330,5.4671,4.5826,2
45930,32740,235477,59.075,3.8637,4
46001,32801,44582,168.7898,8.562,1
47325,33752,689180,64.3169,4.0306,3
47326,33752,672836,84.1408,3.6427,3
47802,34080,367677,60.3794,2.618,1
47913,28671,34158,117.8686,5.4929,1
48294,34420,354295,65.8787,7.7728,1
48295,34420,35170,19.5448,8.2693,1
48595,34661,362897,19.9583,22.3935,1
49426,35245,64462,138.457,4.6312,1
49428,35246,70602,251.2975,5.6079,1
49574,35346,820916,71.9915,3.9241,1
49696,35438,359819,41.1623,7.6468,1
49697,35438,369447,111.016,6.4342,2
50952,36301,364654,60.0278,3.0811,1
51518,36679,77480,116.9087,5.5649,2
