uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,6159346,5570027,bfs,825,8198.882,5.3387
src1_length,1,6159346,5570027,length,988,6988.3925,5.2925
src1_resistance,1,6159346,5570027,resistance,2690,16326.7187,11.9609
src1_radius,1,6159346,5570027,radius,2033,16024.0356,13.6752
src2_bfs,2,2591921,5570027,bfs,460,5315.5432,5.4063
src2_length,2,2591921,5570027,length,608,4712.6877,3.9729
src2_resistance,2,2591921,5570027,resistance,903,7320.9383,11.8791
src2_radius,2,2591921,5570027,radius,870,6967.5401,12.0503
src3_bfs,3,5065107,5570027,bfs,206,1683.1513,10.3765
src3_length,3,5065107,5570027,length,219,1406.8883,10.0171
src3_resistance,3,5065107,5570027,resistance,492,3080.1191,10.4829
src3_radius,3,5065107,5570027,radius,464,2844.5765,10.6879
src4_bfs,4,388194,5570027,bfs,682,8796.7686,5.5954
src4_length,4,388194,5570027,length,927,7483.7853,5.0386
src4_resistance,4,388194,5570027,resistance,2425,16256.7083,10.9455
src4_radius,4,388194,5570027,radius,1066,10336.0961,10.4053
src5_bfs,5,2548620,5570027,bfs,444,5271.8574,5.806
src5_length,5,2548620,5570027,length,565,4826.6023,4.7798
src5_resistance,5,2548620,5570027,resistance,1892,9872.6502,9.4535
src5_radius,5,2548620,5570027,radius,969,7866.5096,11.8837
