uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,594145,552078,bfs,117,8947.6569,10.5983
src1_length,1,594145,552078,length,177,6765.3789,6.5634
src1_resistance,1,594145,552078,resistance,433,14430.7016,17.3987
src1_radius,1,594145,552078,radius,291,13033.0653,16.7503
src2_bfs,2,588984,552078,bfs,109,8653.6278,6.6186
src2_length,2,588984,552078,length,143,7187.1672,6.4225
src2_resistance,2,588984,552078,resistance,236,9736.2308,16.3353
src2_radius,2,588984,552078,radius,237,10122.0379,16.2186
src3_bfs,3,31240,552078,bfs,103,9990.6225,7.945
src3_length,3,31240,552078,length,143,6808.8799,6.8717
src3_resistance,3,31240,552078,resistance,194,11408.1068,11.3401
src3_radius,3,31240,552078,radius,207,12407.2821,12.9929
src4_bfs,4,413169,552078,bfs,80,7187.1439,7.3659
src4_length,4,413169,552078,length,114,5837.8068,6.373
src4_resistance,4,413169,552078,resistance,160,9253.149,12.6254
src4_radius,4,413169,552078,radius,153,10485.0507,12.9206
src5_bfs,5,502296,552078,bfs,111,9497.2212,6.6747
src5_length,5,502296,552078,length,139,7751.3983,6.0608
src5_resistance,5,502296,552078,resistance,258,10770.1595,15.7778
src5_radius,5,502296,552078,radius,258,11478.6797,15.5475
