uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,4902248,5570027,bfs,213,2152.58,7.0858
src1_length,1,4902248,5570027,length,289,1974.9506,13.1281
src1_resistance,1,4902248,5570027,resistance,731,4034.6553,10.9389
src1_radius,1,4902248,5570027,radius,392,2369.1141,19.0953
src2_bfs,2,3434273,5570027,bfs,666,7576.7485,7.1432
src2_length,2,3434273,5570027,length,723,7030.1856,7.2644
src2_resistance,2,3434273,5570027,resistance,1976,11564.9754,11.3829
src2_radius,2,3434273,5570027,radius,1416,12207.7723,14.6705
src3_bfs,3,1074803,5570027,bfs,764,9220.507,3.749
src3_length,3,1074803,5570027,length,877,8339.7827,6.6982
src3_resistance,3,1074803,5570027,resistance,2334,13660.0095,11.6703
src3_radius,3,1074803,5570027,radius,1615,13966.7678,14.1113
src4_bfs,4,1291403,5570027,bfs,555,6592.1536,6.5209
src4_length,4,1291403,5570027,length,824,6169.065,6.0083
src4_resistance,4,1291403,5570027,resistance,996,7728.8381,9.3354
src4_radius,4,1291403,5570027,radius,1237,11483.88,11.9818
src5_bfs,5,6702524,5570027,bfs,382,4607.7177,5.5338
src5_length,5,6702524,5570027,length,471,3233.4846,6.3726
src5_resistance,5,6702524,5570027,resistance,1605,7387.4626,13.0262
src5_radius,5,6702524,5570027,radius,620,3490.3351,14.0935
