uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,537108,552078,bfs,110,9130.3962,7.1201
src1_length,1,537108,552078,length,195,7583.4713,7.8884
src1_resistance,1,537108,552078,resistance,323,12579.5702,13.3057
src1_radius,1,537108,552078,radius,300,12397.8138,14.0964
src2_bfs,2,366694,552078,bfs,111,9933.4835,7.1853
src2_length,2,366694,552078,length,172,7567.4955,5.4066
src2_resistance,2,366694,552078,resistance,248,14300.773,12.3501
src2_radius,2,366694,552078,radius,260,15355.5411,13.6301
src3_bfs,3,37195,552078,bfs,123,11764.0397,6.2871
src3_length,3,37195,552078,length,184,10147.8479,9.2766
src3_resistance,3,37195,552078,resistance,239,12753.7714,11.2175
src3_radius,3,37195,552078,radius,196,12828.3476,10.8867
src4_bfs,4,692268,552078,bfs,41,3543.8529,8.2542
src4_length,4,692268,552078,length,64,2785.4693,12.0085
src4_resistance,4,692268,552078,resistance,58,2998.6283,13.8323
src4_radius,4,692268,552078,radius,58,2998.6283,13.8323
src5_bfs,5,144251,552078,bfs,60,5593.1803,7.5451
src5_length,5,144251,552078,length,89,4477.5361,7.0191
src5_resistance,5,144251,552078,resistance,88,4986.8626,12.405
src5_radius,5,144251,552078,radius,112,8221.1014,14.782
