uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,2799871,5570027,bfs,881,10421.1409,4.8025
src1_length,1,2799871,5570027,length,1037,9541.5372,7.8137
src1_resistance,1,2799871,5570027,resistance,1618,12892.6313,9.1447
src1_radius,1,2799871,5570027,radius,1407,13380.1737,9.7359
src2_bfs,2,698171,5570027,bfs,739,8964.3783,4.8902
src2_length,2,698171,5570027,length,948,7757.3143,5.3035
src2_resistance,2,698171,5570027,resistance,2702,15702.279,10.7798
src2_radius,2,698171,5570027,radius,1693,13901.6641,11.6219
src3_bfs,3,7260144,5570027,bfs,510,6861.9205,5.2768
src3_length,3,7260144,5570027,length,860,5534.8388,8.2523
src3_resistance,3,7260144,5570027,resistance,1236,7958.8418,14.0538
src3_radius,3,7260144,5570027,radius,1232,7933.8796,14.0939
src4_bfs,4,2924540,5570027,bfs,366,4516.8465,7.1821
src4_length,4,2924540,5570027,length,525,3810.0505,11.3705
src4_resistance,4,2924540,5570027,resistance,541,3867.6779,11.2116
src4_radius,4,2924540,5570027,radius,464,4118.9071,12.3837
src5_bfs,5,3481047,5570027,bfs,928,11765.2653,5.1877
src5_length,5,3481047,5570027,length,1032,10807.4605,10.1345
src5_resistance,5,3481047,5570027,resistance,2829,17841.7394,10.7642
src5_radius,5,3481047,5570027,radius,2164,18807.1823,12.2278
