uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,2799871,5570027,bfs,1.69489,7453213,74532,1.0,0.012921,0.426689
src1_length,1,2799871,5570027,length,6.938403,7453213,74532,0.87341,0.019736,0.404189
src1_resistance,1,2799871,5570027,resistance,8.175072,7453213,74532,0.437866,0.038373,0.616447
src1_radius,1,2799871,5570027,radius,8.576248,7453213,74532,0.426689,0.048261,1.0
src2_bfs,2,698171,5570027,bfs,1.748232,7453213,74532,1.0,0.074585,0.202423
src2_length,2,698171,5570027,length,7.078545,7453213,74532,0.847207,0.066669,0.195741
src2_resistance,2,698171,5570027,resistance,7.630125,7453213,74532,0.157664,0.628643,0.807277
src2_radius,2,698171,5570027,radius,8.417056,7453213,74532,0.202423,0.538883,1.0
src3_bfs,3,7260144,5570027,bfs,1.683164,7453213,74532,1.0,0.024593,0.402257
src3_length,3,7260144,5570027,length,6.891,7453213,74532,0.805708,0.031946,0.407999
src3_resistance,3,7260144,5570027,resistance,8.268343,7453213,74532,0.373155,0.373155,0.723676
src3_radius,3,7260144,5570027,radius,8.269402,7453213,74532,0.402257,0.300435,1.0
src4_bfs,4,2924540,5570027,bfs,1.802454,7453213,74532,1.0,0.007299,0.458997
src4_length,4,2924540,5570027,length,7.51504,7453213,74532,0.756132,0.009204,0.427803
src4_resistance,4,2924540,5570027,resistance,8.204106,7453213,74532,0.371277,0.101996,0.64634
src4_radius,4,2924540,5570027,radius,8.813416,7453213,74532,0.458997,0.043941,1.0
src5_bfs,5,3481047,5570027,bfs,1.815361,7453213,74532,1.0,0.045873,0.590646
src5_length,5,3481047,5570027,length,6.92057,7453213,74532,0.892543,0.052367,0.572466
src5_resistance,5,3481047,5570027,resistance,8.444955,7453213,74532,0.474011,0.469208,0.79535
src5_radius,5,3481047,5570027,radius,9.098105,7453213,74532,0.590646,0.356008,1.0
