uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,5956007,5570027,bfs,1.402999,7453213,74532,1.0,0.080865,0.220067
src1_length,1,5956007,5570027,length,4.576947,7453213,74532,0.820815,0.07849,0.190482
src1_resistance,1,5956007,5570027,resistance,5.544761,7453213,74532,0.208152,0.335453,0.769455
src1_radius,1,5956007,5570027,radius,6.016242,7453213,74532,0.220067,0.284052,1.0
src2_bfs,2,5912870,5570027,bfs,1.29348,7453213,74532,1.0,0.080865,0.220067
src2_length,2,5912870,5570027,length,4.699344,7453213,74532,0.785488,0.076558,0.184163
src2_resistance,2,5912870,5570027,resistance,5.576183,7453213,74532,0.208152,0.335453,0.769455
src2_radius,2,5912870,5570027,radius,5.961089,7453213,74532,0.220067,0.284052,1.0
src3_bfs,3,219594,5570027,bfs,1.269028,7453213,74532,1.0,0.119452,0.666694
src3_length,3,219594,5570027,length,4.575315,7453213,74532,0.782671,0.134761,0.606853
src3_resistance,3,219594,5570027,resistance,5.449346,7453213,74532,0.612395,0.174958,0.728747
src3_radius,3,219594,5570027,radius,6.198245,7453213,74532,0.666694,0.166345,1.0
src4_bfs,4,4088543,5570027,bfs,1.337521,7453213,74532,1.0,0.008238,0.394381
src4_length,4,4088543,5570027,length,4.4281,7453213,74532,0.780685,0.006856,0.382131
src4_resistance,4,4088543,5570027,resistance,5.653028,7453213,74532,0.307264,0.111777,0.726762
src4_radius,4,4088543,5570027,radius,5.916335,7453213,74532,0.394381,0.051723,1.0
src5_bfs,5,5228026,5570027,bfs,1.408596,7453213,74532,1.0,0.023507,0.100816
src5_length,5,5228026,5570027,length,4.843764,7453213,74532,0.817206,0.035045,0.123021
src5_resistance,5,5228026,5570027,resistance,5.818691,7453213,74532,0.082542,0.087613,0.779625
src5_radius,5,5228026,5570027,radius,5.877735,7453213,74532,0.100816,0.086996,1.0
