uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,5033299,5570027,bfs,1.770757,7453213,74532,1.0,0.026069,0.037796
src1_length,1,5033299,5570027,length,6.54361,7453213,74532,0.823633,0.021749,0.030658
src1_resistance,1,5033299,5570027,resistance,7.465316,7453213,74532,0.037125,0.335239,0.768368
src1_radius,1,5033299,5570027,radius,8.299726,7453213,74532,0.037796,0.283583,1.0
src2_bfs,2,643927,5570027,bfs,1.744074,7453213,74532,1.0,0.041687,0.446278
src2_length,2,643927,5570027,length,6.785243,7453213,74532,0.890772,0.052783,0.42422
src2_resistance,2,643927,5570027,resistance,7.541658,7453213,74532,0.354935,0.149184,0.725822
src2_radius,2,643927,5570027,radius,7.754137,7453213,74532,0.446278,0.140248,1.0
src3_bfs,3,3842718,5570027,bfs,1.580687,7453213,74532,1.0,0.043847,0.526123
src3_length,3,3842718,5570027,length,6.03487,7453213,74532,0.892892,0.058887,0.534026
src3_resistance,3,3842718,5570027,resistance,7.798521,7453213,74532,0.439328,0.371398,0.80399
src3_radius,3,3842718,5570027,radius,7.438731,7453213,74532,0.526123,0.319192,1.0
src4_bfs,4,379424,5570027,bfs,1.64193,7453213,74532,1.0,0.048758,0.10472
src4_length,4,379424,5570027,length,6.517889,7453213,74532,0.907878,0.056137,0.104948
src4_resistance,4,379424,5570027,resistance,7.185072,7453213,74532,0.078463,0.636975,0.799697
src4_radius,4,379424,5570027,radius,7.74982,7453213,74532,0.10472,0.548972,1.0
src5_bfs,5,41470,5570027,bfs,1.637882,7453213,74532,1.0,0.023721,0.553615
src5_length,5,41470,5570027,length,6.198375,7453213,74532,0.901626,0.025063,0.521588
src5_resistance,5,41470,5570027,resistance,7.149793,7453213,74532,0.470093,0.043592,0.754495
src5_radius,5,41470,5570027,radius,7.531477,7453213,74532,0.553615,0.052488,1.0
